jobid mutator crossover repair generator D mu eps repl
1414 bf on off invscorr 10 200 0.2 4
1415 bf on off invscorr 10 200 0.2 5
1416 bf on off invscorr 10 200 0.2 6
1417 bf on off invscorr 10 200 0.2 7
1418 bf on off invscorr 10 200 0.2 8
1419 bf on off invscorr 10 200 0.2 9
1420 bf on off invscorr 10 200 0.2 10
1421 bf on off invscorr 10 200 0.5 1
1422 bf on off invscorr 10 200 0.5 2
1423 bf on off invscorr 10 200 0.5 3
1424 bf on off invscorr 10 200 0.5 4
1425 bf on off invscorr 10 200 0.5 5
1426 bf on off invscorr 10 200 0.5 6
1427 bf on off invscorr 10 200 0.5 7
1428 bf on off invscorr 10 200 0.5 8
1429 bf on off invscorr 10 200 0.5 9
1430 bf on off invscorr 10 200 0.5 10
1431 bf on off invscorr 10 200 0.9 1
1432 bf on off invscorr 10 200 0.9 2
1433 bf on off invscorr 10 200 0.9 3
1434 bf on off invscorr 10 200 0.9 4
1435 bf on off invscorr 10 200 0.9 5
1436 bf on off invscorr 10 200 0.9 6
1437 bf on off invscorr 10 200 0.9 7
1438 bf on off invscorr 10 200 0.9 8
1439 bf on off invscorr 10 200 0.9 9
1440 bf on off invscorr 10 200 0.9 10
1441 bf on off usw 2 25 0.1 1
1442 bf on off usw 2 25 0.1 2
1443 bf on off usw 2 25 0.1 3
1444 bf on off usw 2 25 0.1 4
1445 bf on off usw 2 25 0.1 5
1446 bf on off usw 2 25 0.1 6
1447 bf on off usw 2 25 0.1 7
1448 bf on off usw 2 25 0.1 8
1449 bf on off usw 2 25 0.1 9
1450 bf on off usw 2 25 0.1 10
1451 bf on off usw 2 25 0.2 1
1452 bf on off usw 2 25 0.2 2
1453 bf on off usw 2 25 0.2 3
1454 bf on off usw 2 25 0.2 4
1455 bf on off usw 2 25 0.2 5
1456 bf on off usw 2 25 0.2 6
1457 bf on off usw 2 25 0.2 7
1458 bf on off usw 2 25 0.2 8
1459 bf on off usw 2 25 0.2 9
1460 bf on off usw 2 25 0.2 10
1461 bf on off usw 2 25 0.5 1
1462 bf on off usw 2 25 0.5 2
1463 bf on off usw 2 25 0.5 3
1464 bf on off usw 2 25 0.5 4
1465 bf on off usw 2 25 0.5 5
1466 bf on off usw 2 25 0.5 6
1467 bf on off usw 2 25 0.5 7
1468 bf on off usw 2 25 0.5 8
1469 bf on off usw 2 25 0.5 9
1470 bf on off usw 2 25 0.5 10
1471 bf on off usw 2 25 0.9 1
1472 bf on off usw 2 25 0.9 2
1473 bf on off usw 2 25 0.9 3
1474 bf on off usw 2 25 0.9 4
1475 bf on off usw 2 25 0.9 5
1476 bf on off usw 2 25 0.9 6
1477 bf on off usw 2 25 0.9 7
1478 bf on off usw 2 25 0.9 8
1479 bf on off usw 2 25 0.9 9
1480 bf on off usw 2 25 0.9 10
1481 bf on off usw 2 50 0.1 1
1482 bf on off usw 2 50 0.1 2
1483 bf on off usw 2 50 0.1 3
1484 bf on off usw 2 50 0.1 4
1485 bf on off usw 2 50 0.1 5
1486 bf on off usw 2 50 0.1 6
1487 bf on off usw 2 50 0.1 7
1488 bf on off usw 2 50 0.1 8
1489 bf on off usw 2 50 0.1 9
1490 bf on off usw 2 50 0.1 10
1491 bf on off usw 2 50 0.2 1
1492 bf on off usw 2 50 0.2 2
1493 bf on off usw 2 50 0.2 3
1494 bf on off usw 2 50 0.2 4
1495 bf on off usw 2 50 0.2 5
1496 bf on off usw 2 50 0.2 6
1497 bf on off usw 2 50 0.2 7
1498 bf on off usw 2 50 0.2 8
1499 bf on off usw 2 50 0.2 9
1500 bf on off usw 2 50 0.2 10
1501 bf on off usw 2 50 0.5 1
1502 bf on off usw 2 50 0.5 2
1503 bf on off usw 2 50 0.5 3
1504 bf on off usw 2 50 0.5 4
1505 bf on off usw 2 50 0.5 5
1506 bf on off usw 2 50 0.5 6
1507 bf on off usw 2 50 0.5 7
1508 bf on off usw 2 50 0.5 8
1509 bf on off usw 2 50 0.5 9
1510 bf on off usw 2 50 0.5 10
1511 bf on off usw 2 50 0.9 1
1512 bf on off usw 2 50 0.9 2
1513 bf on off usw 2 50 0.9 3
1514 bf on off usw 2 50 0.9 4
1515 bf on off usw 2 50 0.9 5
1516 bf on off usw 2 50 0.9 6
1517 bf on off usw 2 50 0.9 7
1518 bf on off usw 2 50 0.9 8
1519 bf on off usw 2 50 0.9 9
1520 bf on off usw 2 50 0.9 10
1521 bf on off usw 2 100 0.1 1
1522 bf on off usw 2 100 0.1 2
1523 bf on off usw 2 100 0.1 3
1524 bf on off usw 2 100 0.1 4
1525 bf on off usw 2 100 0.1 5
1526 bf on off usw 2 100 0.1 6
1527 bf on off usw 2 100 0.1 7
1528 bf on off usw 2 100 0.1 8
1529 bf on off usw 2 100 0.1 9
1530 bf on off usw 2 100 0.1 10
1531 bf on off usw 2 100 0.2 1
1532 bf on off usw 2 100 0.2 2
1533 bf on off usw 2 100 0.2 3
1534 bf on off usw 2 100 0.2 4
1535 bf on off usw 2 100 0.2 5
1536 bf on off usw 2 100 0.2 6
1537 bf on off usw 2 100 0.2 7
1538 bf on off usw 2 100 0.2 8
1539 bf on off usw 2 100 0.2 9
1540 bf on off usw 2 100 0.2 10
1541 bf on off usw 2 100 0.5 1
1542 bf on off usw 2 100 0.5 2
1543 bf on off usw 2 100 0.5 3
1544 bf on off usw 2 100 0.5 4
1545 bf on off usw 2 100 0.5 5
1546 bf on off usw 2 100 0.5 6
1547 bf on off usw 2 100 0.5 7
1548 bf on off usw 2 100 0.5 8
1549 bf on off usw 2 100 0.5 9
1550 bf on off usw 2 100 0.5 10
1551 bf on off usw 2 100 0.9 1
1552 bf on off usw 2 100 0.9 2
1553 bf on off usw 2 100 0.9 3
1554 bf on off usw 2 100 0.9 4
1555 bf on off usw 2 100 0.9 5
1556 bf on off usw 2 100 0.9 6
1557 bf on off usw 2 100 0.9 7
1558 bf on off usw 2 100 0.9 8
1559 bf on off usw 2 100 0.9 9
1560 bf on off usw 2 100 0.9 10
1561 bf on off usw 2 200 0.1 1
1562 bf on off usw 2 200 0.1 2
1563 bf on off usw 2 200 0.1 3
1564 bf on off usw 2 200 0.1 4
1565 bf on off usw 2 200 0.1 5
1566 bf on off usw 2 200 0.1 6
1567 bf on off usw 2 200 0.1 7
1568 bf on off usw 2 200 0.1 8
1569 bf on off usw 2 200 0.1 9
1570 bf on off usw 2 200 0.1 10
1571 bf on off usw 2 200 0.2 1
1572 bf on off usw 2 200 0.2 2
1573 bf on off usw 2 200 0.2 3
1574 bf on off usw 2 200 0.2 4
1575 bf on off usw 2 200 0.2 5
1576 bf on off usw 2 200 0.2 6
1577 bf on off usw 2 200 0.2 7
1578 bf on off usw 2 200 0.2 8
1579 bf on off usw 2 200 0.2 9
1580 bf on off usw 2 200 0.2 10
1581 bf on off usw 2 200 0.5 1
1582 bf on off usw 2 200 0.5 2
1583 bf on off usw 2 200 0.5 3
1584 bf on off usw 2 200 0.5 4
1585 bf on off usw 2 200 0.5 5
1586 bf on off usw 2 200 0.5 6
1587 bf on off usw 2 200 0.5 7
1588 bf on off usw 2 200 0.5 8
1589 bf on off usw 2 200 0.5 9
1590 bf on off usw 2 200 0.5 10
1591 bf on off usw 2 200 0.9 1
1592 bf on off usw 2 200 0.9 2
1593 bf on off usw 2 200 0.9 3
1594 bf on off usw 2 200 0.9 4
1595 bf on off usw 2 200 0.9 5
1596 bf on off usw 2 200 0.9 6
1597 bf on off usw 2 200 0.9 7
1598 bf on off usw 2 200 0.9 8
1599 bf on off usw 2 200 0.9 9
1600 bf on off usw 2 200 0.9 10
1601 bf on off usw 5 25 0.1 1
1602 bf on off usw 5 25 0.1 2
1603 bf on off usw 5 25 0.1 3
1604 bf on off usw 5 25 0.1 4
1605 bf on off usw 5 25 0.1 5
1606 bf on off usw 5 25 0.1 6
1607 bf on off usw 5 25 0.1 7
1608 bf on off usw 5 25 0.1 8
1609 bf on off usw 5 25 0.1 9
1610 bf on off usw 5 25 0.1 10
1611 bf on off usw 5 25 0.2 1
1612 bf on off usw 5 25 0.2 2
1613 bf on off usw 5 25 0.2 3
1614 bf on off usw 5 25 0.2 4
1615 bf on off usw 5 25 0.2 5
1616 bf on off usw 5 25 0.2 6
1617 bf on off usw 5 25 0.2 7
1618 bf on off usw 5 25 0.2 8
1619 bf on off usw 5 25 0.2 9
1620 bf on off usw 5 25 0.2 10
1621 bf on off usw 5 25 0.5 1
1622 bf on off usw 5 25 0.5 2
1623 bf on off usw 5 25 0.5 3
1624 bf on off usw 5 25 0.5 4
1625 bf on off usw 5 25 0.5 5
1626 bf on off usw 5 25 0.5 6
1627 bf on off usw 5 25 0.5 7
1628 bf on off usw 5 25 0.5 8
1629 bf on off usw 5 25 0.5 9
1630 bf on off usw 5 25 0.5 10
1631 bf on off usw 5 25 0.9 1
1632 bf on off usw 5 25 0.9 2
1633 bf on off usw 5 25 0.9 3
1634 bf on off usw 5 25 0.9 4
1635 bf on off usw 5 25 0.9 5
1636 bf on off usw 5 25 0.9 6
1637 bf on off usw 5 25 0.9 7
1638 bf on off usw 5 25 0.9 8
1639 bf on off usw 5 25 0.9 9
1640 bf on off usw 5 25 0.9 10
1641 bf on off usw 5 50 0.1 1
1642 bf on off usw 5 50 0.1 2
1643 bf on off usw 5 50 0.1 3
1644 bf on off usw 5 50 0.1 4
1645 bf on off usw 5 50 0.1 5
1646 bf on off usw 5 50 0.1 6
1647 bf on off usw 5 50 0.1 7
1648 bf on off usw 5 50 0.1 8
1649 bf on off usw 5 50 0.1 9
1650 bf on off usw 5 50 0.1 10
1651 bf on off usw 5 50 0.2 1
1652 bf on off usw 5 50 0.2 2
1653 bf on off usw 5 50 0.2 3
1654 bf on off usw 5 50 0.2 4
1655 bf on off usw 5 50 0.2 5
1656 bf on off usw 5 50 0.2 6
1657 bf on off usw 5 50 0.2 7
1658 bf on off usw 5 50 0.2 8
1659 bf on off usw 5 50 0.2 9
1660 bf on off usw 5 50 0.2 10
1661 bf on off usw 5 50 0.5 1
1662 bf on off usw 5 50 0.5 2
1663 bf on off usw 5 50 0.5 3
1664 bf on off usw 5 50 0.5 4
1665 bf on off usw 5 50 0.5 5
1666 bf on off usw 5 50 0.5 6
1667 bf on off usw 5 50 0.5 7
1668 bf on off usw 5 50 0.5 8
1669 bf on off usw 5 50 0.5 9
1670 bf on off usw 5 50 0.5 10
1671 bf on off usw 5 50 0.9 1
1672 bf on off usw 5 50 0.9 2
1673 bf on off usw 5 50 0.9 3
1674 bf on off usw 5 50 0.9 4
1675 bf on off usw 5 50 0.9 5
1676 bf on off usw 5 50 0.9 6
1677 bf on off usw 5 50 0.9 7
1678 bf on off usw 5 50 0.9 8
1679 bf on off usw 5 50 0.9 9
1680 bf on off usw 5 50 0.9 10
1681 bf on off usw 5 100 0.1 1
1682 bf on off usw 5 100 0.1 2
1683 bf on off usw 5 100 0.1 3
1684 bf on off usw 5 100 0.1 4
1685 bf on off usw 5 100 0.1 5
1686 bf on off usw 5 100 0.1 6
1687 bf on off usw 5 100 0.1 7
1688 bf on off usw 5 100 0.1 8
1689 bf on off usw 5 100 0.1 9
1690 bf on off usw 5 100 0.1 10
1691 bf on off usw 5 100 0.2 1
1692 bf on off usw 5 100 0.2 2
1693 bf on off usw 5 100 0.2 3
1694 bf on off usw 5 100 0.2 4
1695 bf on off usw 5 100 0.2 5
1696 bf on off usw 5 100 0.2 6
1697 bf on off usw 5 100 0.2 7
1698 bf on off usw 5 100 0.2 8
1699 bf on off usw 5 100 0.2 9
1700 bf on off usw 5 100 0.2 10
1701 bf on off usw 5 100 0.5 1
1702 bf on off usw 5 100 0.5 2
1703 bf on off usw 5 100 0.5 3
1704 bf on off usw 5 100 0.5 4
1705 bf on off usw 5 100 0.5 5
1706 bf on off usw 5 100 0.5 6
1707 bf on off usw 5 100 0.5 7
1708 bf on off usw 5 100 0.5 8
1709 bf on off usw 5 100 0.5 9
1710 bf on off usw 5 100 0.5 10
1711 bf on off usw 5 100 0.9 1
1712 bf on off usw 5 100 0.9 2
1713 bf on off usw 5 100 0.9 3
1714 bf on off usw 5 100 0.9 4
1715 bf on off usw 5 100 0.9 5
1716 bf on off usw 5 100 0.9 6
1717 bf on off usw 5 100 0.9 7
1718 bf on off usw 5 100 0.9 8
1719 bf on off usw 5 100 0.9 9
1720 bf on off usw 5 100 0.9 10
1721 bf on off usw 5 200 0.1 1
1722 bf on off usw 5 200 0.1 2
1723 bf on off usw 5 200 0.1 3
1724 bf on off usw 5 200 0.1 4
1725 bf on off usw 5 200 0.1 5
1726 bf on off usw 5 200 0.1 6
1727 bf on off usw 5 200 0.1 7
1728 bf on off usw 5 200 0.1 8
1729 bf on off usw 5 200 0.1 9
1730 bf on off usw 5 200 0.1 10
1731 bf on off usw 5 200 0.2 1
1732 bf on off usw 5 200 0.2 2
1733 bf on off usw 5 200 0.2 3
1734 bf on off usw 5 200 0.2 4
1735 bf on off usw 5 200 0.2 5
1736 bf on off usw 5 200 0.2 6
1737 bf on off usw 5 200 0.2 7
1738 bf on off usw 5 200 0.2 8
1739 bf on off usw 5 200 0.2 9
1740 bf on off usw 5 200 0.2 10
1741 bf on off usw 5 200 0.5 1
1742 bf on off usw 5 200 0.5 2
1743 bf on off usw 5 200 0.5 3
1744 bf on off usw 5 200 0.5 4
1745 bf on off usw 5 200 0.5 5
1746 bf on off usw 5 200 0.5 6
1747 bf on off usw 5 200 0.5 7
1748 bf on off usw 5 200 0.5 8
1749 bf on off usw 5 200 0.5 9
1750 bf on off usw 5 200 0.5 10
1751 bf on off usw 5 200 0.9 1
1752 bf on off usw 5 200 0.9 2
1753 bf on off usw 5 200 0.9 3
1754 bf on off usw 5 200 0.9 4
1755 bf on off usw 5 200 0.9 5
1756 bf on off usw 5 200 0.9 6
1757 bf on off usw 5 200 0.9 7
1758 bf on off usw 5 200 0.9 8
1759 bf on off usw 5 200 0.9 9
1760 bf on off usw 5 200 0.9 10
1761 bf on off usw 10 25 0.1 1
1762 bf on off usw 10 25 0.1 2
1763 bf on off usw 10 25 0.1 3
1764 bf on off usw 10 25 0.1 4
1765 bf on off usw 10 25 0.1 5
1766 bf on off usw 10 25 0.1 6
1767 bf on off usw 10 25 0.1 7
1768 bf on off usw 10 25 0.1 8
1769 bf on off usw 10 25 0.1 9
1770 bf on off usw 10 25 0.1 10
1771 bf on off usw 10 25 0.2 1
1772 bf on off usw 10 25 0.2 2
1773 bf on off usw 10 25 0.2 3
1774 bf on off usw 10 25 0.2 4
1775 bf on off usw 10 25 0.2 5
1776 bf on off usw 10 25 0.2 6
1777 bf on off usw 10 25 0.2 7
1778 bf on off usw 10 25 0.2 8
1779 bf on off usw 10 25 0.2 9
1780 bf on off usw 10 25 0.2 10
1781 bf on off usw 10 25 0.5 1
1782 bf on off usw 10 25 0.5 2
1783 bf on off usw 10 25 0.5 3
1784 bf on off usw 10 25 0.5 4
1785 bf on off usw 10 25 0.5 5
1786 bf on off usw 10 25 0.5 6
1787 bf on off usw 10 25 0.5 7
1788 bf on off usw 10 25 0.5 8
1789 bf on off usw 10 25 0.5 9
1790 bf on off usw 10 25 0.5 10
1791 bf on off usw 10 25 0.9 1
1792 bf on off usw 10 25 0.9 2
1793 bf on off usw 10 25 0.9 3
1794 bf on off usw 10 25 0.9 4
1795 bf on off usw 10 25 0.9 5
1796 bf on off usw 10 25 0.9 6
1797 bf on off usw 10 25 0.9 7
1798 bf on off usw 10 25 0.9 8
1799 bf on off usw 10 25 0.9 9
1800 bf on off usw 10 25 0.9 10
1801 bf on off usw 10 50 0.1 1
1802 bf on off usw 10 50 0.1 2
1803 bf on off usw 10 50 0.1 3
1804 bf on off usw 10 50 0.1 4
1805 bf on off usw 10 50 0.1 5
1806 bf on off usw 10 50 0.1 6
1807 bf on off usw 10 50 0.1 7
1808 bf on off usw 10 50 0.1 8
1809 bf on off usw 10 50 0.1 9
1810 bf on off usw 10 50 0.1 10
1811 bf on off usw 10 50 0.2 1
1812 bf on off usw 10 50 0.2 2
1813 bf on off usw 10 50 0.2 3
1814 bf on off usw 10 50 0.2 4
1815 bf on off usw 10 50 0.2 5
1816 bf on off usw 10 50 0.2 6
1817 bf on off usw 10 50 0.2 7
1818 bf on off usw 10 50 0.2 8
1819 bf on off usw 10 50 0.2 9
1820 bf on off usw 10 50 0.2 10
1821 bf on off usw 10 50 0.5 1
1822 bf on off usw 10 50 0.5 2
1823 bf on off usw 10 50 0.5 3
1824 bf on off usw 10 50 0.5 4
1825 bf on off usw 10 50 0.5 5
1826 bf on off usw 10 50 0.5 6
1827 bf on off usw 10 50 0.5 7
1828 bf on off usw 10 50 0.5 8
1829 bf on off usw 10 50 0.5 9
1830 bf on off usw 10 50 0.5 10
1831 bf on off usw 10 50 0.9 1
1832 bf on off usw 10 50 0.9 2
1833 bf on off usw 10 50 0.9 3
1834 bf on off usw 10 50 0.9 4
1835 bf on off usw 10 50 0.9 5
1836 bf on off usw 10 50 0.9 6
1837 bf on off usw 10 50 0.9 7
1838 bf on off usw 10 50 0.9 8
1839 bf on off usw 10 50 0.9 9
1840 bf on off usw 10 50 0.9 10
1841 bf on off usw 10 100 0.1 1
1842 bf on off usw 10 100 0.1 2
1843 bf on off usw 10 100 0.1 3
1844 bf on off usw 10 100 0.1 4
1845 bf on off usw 10 100 0.1 5
1846 bf on off usw 10 100 0.1 6
1847 bf on off usw 10 100 0.1 7
1848 bf on off usw 10 100 0.1 8
1849 bf on off usw 10 100 0.1 9
1850 bf on off usw 10 100 0.1 10
1851 bf on off usw 10 100 0.2 1
1852 bf on off usw 10 100 0.2 2
1853 bf on off usw 10 100 0.2 3
1854 bf on off usw 10 100 0.2 4
1855 bf on off usw 10 100 0.2 5
1856 bf on off usw 10 100 0.2 6
1857 bf on off usw 10 100 0.2 7
1858 bf on off usw 10 100 0.2 8
1859 bf on off usw 10 100 0.2 9
1860 bf on off usw 10 100 0.2 10
1861 bf on off usw 10 100 0.5 1
1862 bf on off usw 10 100 0.5 2
1863 bf on off usw 10 100 0.5 3
1864 bf on off usw 10 100 0.5 4
1865 bf on off usw 10 100 0.5 5
1866 bf on off usw 10 100 0.5 6
1867 bf on off usw 10 100 0.5 7
1868 bf on off usw 10 100 0.5 8
1869 bf on off usw 10 100 0.5 9
1870 bf on off usw 10 100 0.5 10
1871 bf on off usw 10 100 0.9 1
1872 bf on off usw 10 100 0.9 2
1873 bf on off usw 10 100 0.9 3
1874 bf on off usw 10 100 0.9 4
1875 bf on off usw 10 100 0.9 5
1876 bf on off usw 10 100 0.9 6
1877 bf on off usw 10 100 0.9 7
1878 bf on off usw 10 100 0.9 8
1879 bf on off usw 10 100 0.9 9
1880 bf on off usw 10 100 0.9 10
1881 bf on off usw 10 200 0.1 1
1882 bf on off usw 10 200 0.1 2
1883 bf on off usw 10 200 0.1 3
1884 bf on off usw 10 200 0.1 4
1885 bf on off usw 10 200 0.1 5
1886 bf on off usw 10 200 0.1 6
1887 bf on off usw 10 200 0.1 7
1888 bf on off usw 10 200 0.1 8
1889 bf on off usw 10 200 0.1 9
1890 bf on off usw 10 200 0.1 10
1891 bf on off usw 10 200 0.2 1
1892 bf on off usw 10 200 0.2 2
1893 bf on off usw 10 200 0.2 3
1894 bf on off usw 10 200 0.2 4
1895 bf on off usw 10 200 0.2 5
1896 bf on off usw 10 200 0.2 6
1897 bf on off usw 10 200 0.2 7
1898 bf on off usw 10 200 0.2 8
1899 bf on off usw 10 200 0.2 9
1900 bf on off usw 10 200 0.2 10
1901 bf on off usw 10 200 0.5 1
1902 bf on off usw 10 200 0.5 2
1903 bf on off usw 10 200 0.5 3
1904 bf on off usw 10 200 0.5 4
1905 bf on off usw 10 200 0.5 5
1906 bf on off usw 10 200 0.5 6
1907 bf on off usw 10 200 0.5 7
1908 bf on off usw 10 200 0.5 8
1909 bf on off usw 10 200 0.5 9
1910 bf on off usw 10 200 0.5 10
1911 bf on off usw 10 200 0.9 1
1912 bf on off usw 10 200 0.9 2
1913 bf on off usw 10 200 0.9 3
1914 bf on off usw 10 200 0.9 4
1915 bf on off usw 10 200 0.9 5
1916 bf on off usw 10 200 0.9 6
1917 bf on off usw 10 200 0.9 7
1918 bf on off usw 10 200 0.9 8
1919 bf on off usw 10 200 0.9 9
1920 bf on off usw 10 200 0.9 10
1921 bf on deterministic uncorr 2 25 0.1 1
1922 bf on deterministic uncorr 2 25 0.1 2
1923 bf on deterministic uncorr 2 25 0.1 3
1924 bf on deterministic uncorr 2 25 0.1 4
1925 bf on deterministic uncorr 2 25 0.1 5
1926 bf on deterministic uncorr 2 25 0.1 6
1927 bf on deterministic uncorr 2 25 0.1 7
1928 bf on deterministic uncorr 2 25 0.1 8
1929 bf on deterministic uncorr 2 25 0.1 9
1930 bf on deterministic uncorr 2 25 0.1 10
1931 bf on deterministic uncorr 2 25 0.2 1
1932 bf on deterministic uncorr 2 25 0.2 2
1933 bf on deterministic uncorr 2 25 0.2 3
1934 bf on deterministic uncorr 2 25 0.2 4
1935 bf on deterministic uncorr 2 25 0.2 5
1936 bf on deterministic uncorr 2 25 0.2 6
1937 bf on deterministic uncorr 2 25 0.2 7
1938 bf on deterministic uncorr 2 25 0.2 8
1939 bf on deterministic uncorr 2 25 0.2 9
1940 bf on deterministic uncorr 2 25 0.2 10
1941 bf on deterministic uncorr 2 25 0.5 1
1942 bf on deterministic uncorr 2 25 0.5 2
1943 bf on deterministic uncorr 2 25 0.5 3
1944 bf on deterministic uncorr 2 25 0.5 4
1945 bf on deterministic uncorr 2 25 0.5 5
1946 bf on deterministic uncorr 2 25 0.5 6
1947 bf on deterministic uncorr 2 25 0.5 7
1948 bf on deterministic uncorr 2 25 0.5 8
1949 bf on deterministic uncorr 2 25 0.5 9
1950 bf on deterministic uncorr 2 25 0.5 10
1951 bf on deterministic uncorr 2 25 0.9 1
1952 bf on deterministic uncorr 2 25 0.9 2
1953 bf on deterministic uncorr 2 25 0.9 3
1954 bf on deterministic uncorr 2 25 0.9 4
1955 bf on deterministic uncorr 2 25 0.9 5
1956 bf on deterministic uncorr 2 25 0.9 6
1957 bf on deterministic uncorr 2 25 0.9 7
1958 bf on deterministic uncorr 2 25 0.9 8
1959 bf on deterministic uncorr 2 25 0.9 9
1960 bf on deterministic uncorr 2 25 0.9 10
1961 bf on deterministic uncorr 2 50 0.1 1
1962 bf on deterministic uncorr 2 50 0.1 2
1963 bf on deterministic uncorr 2 50 0.1 3
1964 bf on deterministic uncorr 2 50 0.1 4
1965 bf on deterministic uncorr 2 50 0.1 5
1966 bf on deterministic uncorr 2 50 0.1 6
1967 bf on deterministic uncorr 2 50 0.1 7
1968 bf on deterministic uncorr 2 50 0.1 8
1969 bf on deterministic uncorr 2 50 0.1 9
1970 bf on deterministic uncorr 2 50 0.1 10
1971 bf on deterministic uncorr 2 50 0.2 1
1972 bf on deterministic uncorr 2 50 0.2 2
1973 bf on deterministic uncorr 2 50 0.2 3
1974 bf on deterministic uncorr 2 50 0.2 4
1975 bf on deterministic uncorr 2 50 0.2 5
1976 bf on deterministic uncorr 2 50 0.2 6
1977 bf on deterministic uncorr 2 50 0.2 7
1978 bf on deterministic uncorr 2 50 0.2 8
1979 bf on deterministic uncorr 2 50 0.2 9
1980 bf on deterministic uncorr 2 50 0.2 10
1981 bf on deterministic uncorr 2 50 0.5 1
1982 bf on deterministic uncorr 2 50 0.5 2
1983 bf on deterministic uncorr 2 50 0.5 3
1984 bf on deterministic uncorr 2 50 0.5 4
1985 bf on deterministic uncorr 2 50 0.5 5
1986 bf on deterministic uncorr 2 50 0.5 6
1987 bf on deterministic uncorr 2 50 0.5 7
1988 bf on deterministic uncorr 2 50 0.5 8
1989 bf on deterministic uncorr 2 50 0.5 9
1990 bf on deterministic uncorr 2 50 0.5 10
1991 bf on deterministic uncorr 2 50 0.9 1
1992 bf on deterministic uncorr 2 50 0.9 2
1993 bf on deterministic uncorr 2 50 0.9 3
1994 bf on deterministic uncorr 2 50 0.9 4
1995 bf on deterministic uncorr 2 50 0.9 5
1996 bf on deterministic uncorr 2 50 0.9 6
1997 bf on deterministic uncorr 2 50 0.9 7
1998 bf on deterministic uncorr 2 50 0.9 8
1999 bf on deterministic uncorr 2 50 0.9 9
2000 bf on deterministic uncorr 2 50 0.9 10
2001 bf on deterministic uncorr 2 100 0.1 1
2002 bf on deterministic uncorr 2 100 0.1 2
2003 bf on deterministic uncorr 2 100 0.1 3
2004 bf on deterministic uncorr 2 100 0.1 4
2005 bf on deterministic uncorr 2 100 0.1 5
2006 bf on deterministic uncorr 2 100 0.1 6
2007 bf on deterministic uncorr 2 100 0.1 7
2008 bf on deterministic uncorr 2 100 0.1 8
2009 bf on deterministic uncorr 2 100 0.1 9
2010 bf on deterministic uncorr 2 100 0.1 10
2011 bf on deterministic uncorr 2 100 0.2 1
2012 bf on deterministic uncorr 2 100 0.2 2
2013 bf on deterministic uncorr 2 100 0.2 3
2014 bf on deterministic uncorr 2 100 0.2 4
2015 bf on deterministic uncorr 2 100 0.2 5
2016 bf on deterministic uncorr 2 100 0.2 6
2017 bf on deterministic uncorr 2 100 0.2 7
2018 bf on deterministic uncorr 2 100 0.2 8
2019 bf on deterministic uncorr 2 100 0.2 9
2020 bf on deterministic uncorr 2 100 0.2 10
2021 bf on deterministic uncorr 2 100 0.5 1
2022 bf on deterministic uncorr 2 100 0.5 2
2023 bf on deterministic uncorr 2 100 0.5 3
2024 bf on deterministic uncorr 2 100 0.5 4
2025 bf on deterministic uncorr 2 100 0.5 5
2026 bf on deterministic uncorr 2 100 0.5 6
2027 bf on deterministic uncorr 2 100 0.5 7
2028 bf on deterministic uncorr 2 100 0.5 8
2029 bf on deterministic uncorr 2 100 0.5 9
2030 bf on deterministic uncorr 2 100 0.5 10
2031 bf on deterministic uncorr 2 100 0.9 1
2032 bf on deterministic uncorr 2 100 0.9 2
2033 bf on deterministic uncorr 2 100 0.9 3
2034 bf on deterministic uncorr 2 100 0.9 4
2035 bf on deterministic uncorr 2 100 0.9 5
2036 bf on deterministic uncorr 2 100 0.9 6
2037 bf on deterministic uncorr 2 100 0.9 7
2038 bf on deterministic uncorr 2 100 0.9 8
2039 bf on deterministic uncorr 2 100 0.9 9
2040 bf on deterministic uncorr 2 100 0.9 10
2041 bf on deterministic uncorr 2 200 0.1 1
2042 bf on deterministic uncorr 2 200 0.1 2
2043 bf on deterministic uncorr 2 200 0.1 3
2044 bf on deterministic uncorr 2 200 0.1 4
2045 bf on deterministic uncorr 2 200 0.1 5
2046 bf on deterministic uncorr 2 200 0.1 6
2047 bf on deterministic uncorr 2 200 0.1 7
2048 bf on deterministic uncorr 2 200 0.1 8
2049 bf on deterministic uncorr 2 200 0.1 9
2050 bf on deterministic uncorr 2 200 0.1 10
2051 bf on deterministic uncorr 2 200 0.2 1
2052 bf on deterministic uncorr 2 200 0.2 2
2053 bf on deterministic uncorr 2 200 0.2 3
2054 bf on deterministic uncorr 2 200 0.2 4
2055 bf on deterministic uncorr 2 200 0.2 5
2056 bf on deterministic uncorr 2 200 0.2 6
2057 bf on deterministic uncorr 2 200 0.2 7
2058 bf on deterministic uncorr 2 200 0.2 8
2059 bf on deterministic uncorr 2 200 0.2 9
2060 bf on deterministic uncorr 2 200 0.2 10
2061 bf on deterministic uncorr 2 200 0.5 1
2062 bf on deterministic uncorr 2 200 0.5 2
2063 bf on deterministic uncorr 2 200 0.5 3
2064 bf on deterministic uncorr 2 200 0.5 4
2065 bf on deterministic uncorr 2 200 0.5 5
2066 bf on deterministic uncorr 2 200 0.5 6
2067 bf on deterministic uncorr 2 200 0.5 7
2068 bf on deterministic uncorr 2 200 0.5 8
2069 bf on deterministic uncorr 2 200 0.5 9
2070 bf on deterministic uncorr 2 200 0.5 10
2071 bf on deterministic uncorr 2 200 0.9 1
