jobid mutator crossover repair generator D mu eps repl
152 bf on off uncorr 2 200 0.9 2
153 bf on off uncorr 2 200 0.9 3
154 bf on off uncorr 2 200 0.9 4
155 bf on off uncorr 2 200 0.9 5
156 bf on off uncorr 2 200 0.9 6
157 bf on off uncorr 2 200 0.9 7
158 bf on off uncorr 2 200 0.9 8
159 bf on off uncorr 2 200 0.9 9
160 bf on off uncorr 2 200 0.9 10
161 bf on off uncorr 5 25 0.1 1
162 bf on off uncorr 5 25 0.1 2
163 bf on off uncorr 5 25 0.1 3
164 bf on off uncorr 5 25 0.1 4
165 bf on off uncorr 5 25 0.1 5
166 bf on off uncorr 5 25 0.1 6
167 bf on off uncorr 5 25 0.1 7
168 bf on off uncorr 5 25 0.1 8
169 bf on off uncorr 5 25 0.1 9
170 bf on off uncorr 5 25 0.1 10
171 bf on off uncorr 5 25 0.2 1
172 bf on off uncorr 5 25 0.2 2
173 bf on off uncorr 5 25 0.2 3
174 bf on off uncorr 5 25 0.2 4
175 bf on off uncorr 5 25 0.2 5
176 bf on off uncorr 5 25 0.2 6
177 bf on off uncorr 5 25 0.2 7
178 bf on off uncorr 5 25 0.2 8
179 bf on off uncorr 5 25 0.2 9
180 bf on off uncorr 5 25 0.2 10
181 bf on off uncorr 5 25 0.5 1
182 bf on off uncorr 5 25 0.5 2
183 bf on off uncorr 5 25 0.5 3
184 bf on off uncorr 5 25 0.5 4
185 bf on off uncorr 5 25 0.5 5
186 bf on off uncorr 5 25 0.5 6
187 bf on off uncorr 5 25 0.5 7
188 bf on off uncorr 5 25 0.5 8
189 bf on off uncorr 5 25 0.5 9
190 bf on off uncorr 5 25 0.5 10
191 bf on off uncorr 5 25 0.9 1
192 bf on off uncorr 5 25 0.9 2
193 bf on off uncorr 5 25 0.9 3
194 bf on off uncorr 5 25 0.9 4
195 bf on off uncorr 5 25 0.9 5
196 bf on off uncorr 5 25 0.9 6
197 bf on off uncorr 5 25 0.9 7
198 bf on off uncorr 5 25 0.9 8
199 bf on off uncorr 5 25 0.9 9
200 bf on off uncorr 5 25 0.9 10
201 bf on off uncorr 5 50 0.1 1
202 bf on off uncorr 5 50 0.1 2
203 bf on off uncorr 5 50 0.1 3
204 bf on off uncorr 5 50 0.1 4
205 bf on off uncorr 5 50 0.1 5
206 bf on off uncorr 5 50 0.1 6
207 bf on off uncorr 5 50 0.1 7
208 bf on off uncorr 5 50 0.1 8
209 bf on off uncorr 5 50 0.1 9
210 bf on off uncorr 5 50 0.1 10
211 bf on off uncorr 5 50 0.2 1
212 bf on off uncorr 5 50 0.2 2
213 bf on off uncorr 5 50 0.2 3
214 bf on off uncorr 5 50 0.2 4
215 bf on off uncorr 5 50 0.2 5
216 bf on off uncorr 5 50 0.2 6
217 bf on off uncorr 5 50 0.2 7
218 bf on off uncorr 5 50 0.2 8
219 bf on off uncorr 5 50 0.2 9
220 bf on off uncorr 5 50 0.2 10
221 bf on off uncorr 5 50 0.5 1
222 bf on off uncorr 5 50 0.5 2
223 bf on off uncorr 5 50 0.5 3
224 bf on off uncorr 5 50 0.5 4
225 bf on off uncorr 5 50 0.5 5
226 bf on off uncorr 5 50 0.5 6
227 bf on off uncorr 5 50 0.5 7
228 bf on off uncorr 5 50 0.5 8
229 bf on off uncorr 5 50 0.5 9
230 bf on off uncorr 5 50 0.5 10
231 bf on off uncorr 5 50 0.9 1
232 bf on off uncorr 5 50 0.9 2
233 bf on off uncorr 5 50 0.9 3
234 bf on off uncorr 5 50 0.9 4
235 bf on off uncorr 5 50 0.9 5
236 bf on off uncorr 5 50 0.9 6
237 bf on off uncorr 5 50 0.9 7
238 bf on off uncorr 5 50 0.9 8
239 bf on off uncorr 5 50 0.9 9
240 bf on off uncorr 5 50 0.9 10
241 bf on off uncorr 5 100 0.1 1
242 bf on off uncorr 5 100 0.1 2
243 bf on off uncorr 5 100 0.1 3
244 bf on off uncorr 5 100 0.1 4
245 bf on off uncorr 5 100 0.1 5
246 bf on off uncorr 5 100 0.1 6
247 bf on off uncorr 5 100 0.1 7
248 bf on off uncorr 5 100 0.1 8
249 bf on off uncorr 5 100 0.1 9
250 bf on off uncorr 5 100 0.1 10
