"jobid" "mutator" "crossover" "repair" "generator" "D" "mu" "eps" "repl" "iters" "time_passed" "entropy" "iters_without_improvement" "repair_operations" "repair_success"
63 "bf" "on" "off" "uncorr" 2 50 0.5 3 5000 15 36.7788823154911 4349 3764 332
64 "bf" "on" "off" "uncorr" 2 50 0.5 4 5000 15 36.7788823154911 4431 3789 336
65 "bf" "on" "off" "uncorr" 2 50 0.5 5 5000 14 36.7773791208651 4384 3891 350
66 "bf" "on" "off" "uncorr" 2 50 0.5 6 5000 15 36.7776581129819 4329 3910 404
67 "bf" "on" "off" "uncorr" 2 50 0.5 7 5000 13 36.7784322389628 4473 3806 347
68 "bf" "on" "off" "uncorr" 2 50 0.5 8 5000 14 36.7774330747177 4333 3860 341
69 "bf" "on" "off" "uncorr" 2 50 0.5 9 5000 11 36.778769796359 4389 3873 355
70 "bf" "on" "off" "uncorr" 2 50 0.5 10 5000 14 36.7781081895101 4323 3765 359
71 "bf" "on" "off" "uncorr" 2 50 0.9 1 5000 13 36.5297878485619 3894 1686 43
72 "bf" "on" "off" "uncorr" 2 50 0.9 2 5000 15 36.398465736127 3899 1841 43
73 "bf" "on" "off" "uncorr" 2 50 0.9 3 5000 14 36.4985022697073 3865 1747 46
74 "bf" "on" "off" "uncorr" 2 50 0.9 4 5000 12 36.4898791162573 3823 1621 41
75 "bf" "on" "off" "uncorr" 2 50 0.9 5 5000 14 36.4579906527327 3870 1936 47
76 "bf" "on" "off" "uncorr" 2 50 0.9 6 5000 15 36.5207354437844 3930 1938 38
77 "bf" "on" "off" "uncorr" 2 50 0.9 7 5000 12 36.4345625484263 3884 1796 47
78 "bf" "on" "off" "uncorr" 2 50 0.9 8 5000 13 36.4775229525658 3899 1983 45
79 "bf" "on" "off" "uncorr" 2 50 0.9 9 5000 15 36.5998372479381 3878 1584 37
80 "bf" "on" "off" "uncorr" 2 50 0.9 10 5000 13 36.5354704633591 3851 1695 50
81 "bf" "on" "off" "uncorr" 2 100 0.1 1 10000 20 36.3256085704911 9215 15626 1245
82 "bf" "on" "off" "uncorr" 2 100 0.1 2 10000 17 36.3241596539497 9101 15649 1147
83 "bf" "on" "off" "uncorr" 2 100 0.1 3 10000 20 36.3265375486553 9179 15699 954
84 "bf" "on" "off" "uncorr" 2 100 0.1 4 10000 19 36.3225391658038 9237 15452 1248
85 "bf" "on" "off" "uncorr" 2 100 0.1 5 10000 20 36.3268618179074 9245 15634 1094
86 "bf" "on" "off" "uncorr" 2 100 0.1 6 10000 23 36.3301419073068 9095 15561 1272
87 "bf" "on" "off" "uncorr" 2 100 0.1 7 10000 21 36.3257141056244 9333 15598 1256
88 "bf" "on" "off" "uncorr" 2 100 0.1 8 10000 19 36.3226102233271 9152 15606 1176
89 "bf" "on" "off" "uncorr" 2 100 0.1 9 10000 19 36.3309395760023 9254 15618 1200
90 "bf" "on" "off" "uncorr" 2 100 0.1 10 10000 22 36.3194100147499 9117 15705 1198
91 "bf" "on" "off" "uncorr" 2 100 0.2 1 10000 48 36.731926308439 9213 11530 3015
92 "bf" "on" "off" "uncorr" 2 100 0.2 2 10000 48 36.7356042109194 9178 13033 2708
93 "bf" "on" "off" "uncorr" 2 100 0.2 3 10000 48 36.7334381566057 9284 11638 2671
94 "bf" "on" "off" "uncorr" 2 100 0.2 4 10000 42 36.7346628797755 9177 12181 3122
95 "bf" "on" "off" "uncorr" 2 100 0.2 5 10000 39 36.7362637213446 9213 13834 2424
96 "bf" "on" "off" "uncorr" 2 100 0.2 6 10000 34 36.7318991888388 9345 14288 2498
97 "bf" "on" "off" "uncorr" 2 100 0.2 7 10000 43 36.7332928486049 9275 13201 2934
98 "bf" "on" "off" "uncorr" 2 100 0.2 8 10000 43 36.7339523590302 9324 11971 3167
99 "bf" "on" "off" "uncorr" 2 100 0.2 9 10000 44 36.7345885402401 9305 11953 3315
100 "bf" "on" "off" "uncorr" 2 100 0.2 10 10000 45 36.735390001107 9144 13014 2922
101 "bf" "on" "off" "uncorr" 2 100 0.5 1 10000 50 36.7871763296716 8867 7700 693
102 "bf" "on" "off" "uncorr" 2 100 0.5 2 10000 48 36.7873341137231 8983 7799 741
103 "bf" "on" "off" "uncorr" 2 100 0.5 3 10000 63 36.7873341137231 8895 7562 689
104 "bf" "on" "off" "uncorr" 2 100 0.5 4 10000 51 36.7872552216973 8997 7600 693
105 "bf" "on" "off" "uncorr" 2 100 0.5 5 10000 49 36.7872552216973 8936 7666 681
106 "bf" "on" "off" "uncorr" 2 100 0.5 6 10000 55 36.7872552216973 8772 7620 715
107 "bf" "on" "off" "uncorr" 2 100 0.5 7 10000 49 36.7872552216973 8836 7694 665
108 "bf" "on" "off" "uncorr" 2 100 0.5 8 10000 58 36.7871763296716 8877 7706 724
109 "bf" "on" "off" "uncorr" 2 100 0.5 9 10000 58 36.7873341137231 8846 7686 698
110 "bf" "on" "off" "uncorr" 2 100 0.5 10 10000 58 36.7873341137231 8883 7702 692
111 "bf" "on" "off" "uncorr" 2 100 0.9 1 10000 57 36.7471188507785 7815 3047 72
112 "bf" "on" "off" "uncorr" 2 100 0.9 2 10000 48 36.7653211911303 7874 3009 71
113 "bf" "on" "off" "uncorr" 2 100 0.9 3 10000 59 36.7486716782504 7877 2945 60
114 "bf" "on" "off" "uncorr" 2 100 0.9 4 10000 58 36.7524247463137 7852 3409 68
115 "bf" "on" "off" "uncorr" 2 100 0.9 5 10000 54 36.7745687724519 7900 2889 64
116 "bf" "on" "off" "uncorr" 2 100 0.9 6 10000 51 36.7831537272717 7823 3001 77
117 "bf" "on" "off" "uncorr" 2 100 0.9 7 10000 58 36.7685095238558 7903 2968 85
118 "bf" "on" "off" "uncorr" 2 100 0.9 8 10000 57 36.7589291833895 7809 3411 75
